item,Word,VALENCE,AROUSAL,DOMINANCE,NLETTERS,NSYLLABLES,Log_Freq_HAL,Ortho_N,BG_byPOS,CONCRETENESS,Log_Freq_SUBTLEX,LEN_orthoN,LEXFREQ,VALDOM,BGFREQ,CONCRETE
62_LA,domestic,5.05,2.8,6.12,8,3,9.44,-0.69,8.61,2.57,5.86,0.6,0.89,0.47,0.6,-0.77
63_DI,talented,7.95,4.55,6.14,8,3,8.63,-0.69,8.7,2.04,6.36,0.61,0.68,1.52,0.52,-1.19
64_HA,nightlife,5.95,6.36,6.09,9,2,5.77,0.41,7.73,3.17,3.33,-0.25,-1.54,1.02,-0.58,-0.22
65_LA,bookworm,6.67,2.47,5.32,8,2,4.73,0.92,7.78,3.69,3.61,-0.76,-1.85,0.89,-0.34,0.46
66_DI,heirloom,6.35,4.55,6.62,8,2,5.92,-0.69,7.61,3.73,3.76,0.53,-1.34,1.4,-1.4,0.3
67_HA,disgusting,2.27,6.15,4.79,10,3,8.47,-0.69,9.01,2.21,7.21,0.5,1.27,-1.19,1.59,-1
68_LA,maintenance,5.95,2.81,5.28,11,3,9.75,-0.69,8.74,3.07,5.86,0.98,1.12,0.37,1.17,-0.01
69_DI,surrender,3.73,4.58,3.88,9,3,8.4,-0.69,8.7,2.63,6.67,0.64,1.02,-1.11,0.89,-0.48
70_HA,destruct,3.5,6.09,4.42,8,2,6.41,-0.69,8.55,2.96,3.43,-0.1,-0.98,-0.76,0.35,-0.33
71_LA,pastime,5.94,2.75,5.48,7,2,6.04,-0.69,8.57,2.5,3.71,-0.19,-1.19,0.63,0.1,-0.84
