Name,Count
Dre,1
Drew,14
Dru,1
Druvakrishnaa,1
Duarte,1
Dughall,1
Duke,1
Duncan,23
Duncan-John,1
Dune,1
Dwayne,2
Dylan,113
Dylan-Jay,1
Eamon,1
Eamonn,1
Easa,1
Eason,1
Easton,3
Eban,1
Eben,2
Ebenezer,1
Echo,1
Eck,1
Edden,1
Eddie,6
Eddy,3
Eddy-Joe,1
Eden,13
Eden-Avery,1
Edenas,1
Edgar,3
Edis,1
Edison,1
Edmond,2
Edmund,1
Edrey,1
Edson,1
Eduard,1
Edvardas,1
Edward,46
Edward-Gabriel,1
Edwyn,1
Eeligh,1
Eelih,1
Eero,1
Eesa,4
Efemena,1
Eghosa,1
Egon,1
Ehaan,1
Ehan,1
Ehsan,1
Eibaad,1
Eigan,1
Einar,2
Eion,1
Eirik,2
Eirnin,1
Eitan,1
Ejaz,1
Ekam,2
Ekamjot,1
Ekamveer,1
Ekvir,1
Elan,1
Eldin,1
Eldon,1
Elessar,1
Eli,43
Eliah,1
Elias,13
Eliass,1
Elii,1
Elijah,72
Elio,2
Elis,4
Elison,1
Ellias,1
Ellice,1
Ellijah,1
Elliot,65
Elliott,27
Ellis,54
Ellison,1
Ellyott,1
Eloden,1
Eloi,1
Elon,1
Elsir,1
Eltayeb,2
Elton,1
Elvin,3
Elvis,1
Elyas,3
Elyoth,1
Emanuel,5
Emerson,1
Emil,4
Emile,1
Emilis,1
Emin,1
Emit,1
Emlyn,1
Emmanuel,6
Emmet,1
Emmett,2
Emran,1
Emre,1
Emry,1
Emwnt,1
Endi,1
Enes,1
Eniobafe,1
Ennis,1
Enoch,3
Enzo,8
Eogan,1
Eoghan,3
Eoghann,2
Eoin,8
Ephraim,1
Erdi,1
Eren,1
Eric,18
Erick,1
Erick-Andrei,1
Erik,6
Erikas,1
Eriks,1
Ernest,4
Ernie,4
Errol,1
Eryk,5
Esam,1
Essey,1
Eszkiem,1
Etash,1
Ethan,196
Ethan-Edward,1
Ethan-James,1
Euan,58
Euen,1
Eugene,2
Eugeniusz,1
Evaahn,1
Evan,48
Evanas,1
Evander,1
Evangelos,1
Evans,1
Everest,1
Everett,3
Everly,1
Evren,2
Evyn,1
Ewan,15
Ewen,2
Ewyn,1
Eyoab,1
Ezekiel,5
Ezra,33
Ezrah,1
Fabian,9
Fabien,1
Faisal,3
Fallon,3
Fansu,1
Faraz,1
Fardeen,1
Farhan,2
Faris,2
Farran,1
Farrell,1
Farren,1
Farren-James,1
Fawad,1
Fearghas,2
Fearghus,1
Federico,2
Felan-Magnus,1
Felix,32
Fen,1
Fergal,1
Fergie,1
Fergus,41
Fernando,1
Fhionnlagh,1
Fidel,1
Filip,26
Filippo,1
Fillip,1
Fin,1
Finbar,2
Finch,1
Findlay,22
Findley,1
Finian,1
Finlay,218
Finley,34
Finn,208
Finnegan,1
Finnian,1
Finnlay,4
Finnley,2
Fionn,13
Fionnlagh,3
Firas,1
Fitheach,1
Fitzwilliam,1
Fivos,1
Flavius,1
Fletcher,15
Flint,1
Floyd,2
Flyn,1
Flynn,33
